height,block_hash,valid_claims,losers,legacy_winner_txid,canonical_winner_txid,winner_changed,credited_pow_pool_sat,legacy_uncredited_loser_fees_sat,canonical_reimbursement_sat,legacy_winner_v30_1_1_credit_sat,legacy_winner_credit_delta_sat,replacement_winner_v30_1_1_credit_sat,replacement_winner_credit_delta_sat,remaining_claimants_credit_delta_sat,value_reassigned_sat,block_total_credit_delta_sat
5951113,"0fe342c06bb1880b01c01b9c49a58e836ac768fb55dd6dbfebbf7c9ebc69ccd5",2,1,"4c0de8916aa06540ab26c3035d4abff99b7afa008358adfc1f6faf0284f9bc0a","8ecf80a86bf8efcf2bee8a3cfa07cbbdcbf2de261464e74dfc45d07ef28e3f9b",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5951128,"bbd51e6e8f13b63b1ef416db00ca9a052895e62542fa930315f32d0e5481d199",2,1,"2297688aa16da38a1d41f9126c29f2dd9cebf4eeebd2fe6ff1c5c81c55749335","219c9236b0e0a9ce2014511c297d529b4e5651b5691a0af11293029526e088dc",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5951141,"a6d67e37f0d0c8687b1096879393d4c5ef5e3f9e2d4bfa94cbb0a8700b03ba74",2,1,"2b25c63a9bf052cf097dbfe277bac40ce5f76849a83ba296202e9e217f0d7374","2b25c63a9bf052cf097dbfe277bac40ce5f76849a83ba296202e9e217f0d7374",0,145000000000,28700,28700,144999971300,-28700,0,0,28700,28700,0
5951157,"c389162fedacdf1db974d76d2265eaf69d9fc2428ee48772dbe0e35bd3a12b25",2,1,"f2446dc199429d79e89ed193d456019ac756f5c3d10752db114c77c5c061d375","0dd76159da264ebff71dd57269fddfe4d62e40dbc395d65bed3b50c568877fa1",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5951178,"e27e7e7ac9615d12efa81c766e3959a8ae4a153a69185c99160f03915b5a431f",2,1,"68d14e68c7f82eb87f4a1a1e866e3aeb0ac2d2e516451b43268e85abbe079127","68d14e68c7f82eb87f4a1a1e866e3aeb0ac2d2e516451b43268e85abbe079127",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5951204,"de29931a585a67297259220aade9bea36d7e17712f164fefee4f4578e481ceb8",2,1,"c7cbd6e1c7d073dd0b6498316ec57bfb11be6da89fac0f334fb001519355c744","c7cbd6e1c7d073dd0b6498316ec57bfb11be6da89fac0f334fb001519355c744",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5951227,"24cad6296930f6f356020e4efccaf6845edcb889c57e8d3b8a499a869c0e3161",2,1,"76953c3e0c56efc10d2f8321efae8523b8ca3dbb969ce2df03413798cf23f44b","a282f59a0e18c83bf0755d153758e5e38e631782dfdd7ad770652776f69236f5",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5951256,"9fb5bdc4b196e561669773bf305deffaf2fb621ba89f719ba7b47c4f1843a554",2,1,"dd042fe12cdeccc9c00d1b1c7f0b2c1af6859dad2269392eea0fca76e389f316","83166a794d7c4b4538f6ce3d603d1bdfb912310a034e3867fcebb7868cf7ca44",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5951257,"a1ca961cf61812ffb23c5f389a9d14577df94e8fc59d27577fc97733c925a0e8",2,1,"55c4af512a080381ece4eabcc41fe69696e748efbe5b26fc36e869c426096d12","55c4af512a080381ece4eabcc41fe69696e748efbe5b26fc36e869c426096d12",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5951267,"d7d3ef8d4df81bef661300b29311bc9fe2c28c3ad434b8578733c2a22606d9f0",2,1,"71b339e487276a16d3265cccccab79370738d98f5f08836e83c15fb0cf636f13","71b339e487276a16d3265cccccab79370738d98f5f08836e83c15fb0cf636f13",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5951268,"8e757cfe5ed95806594c0bdd96524b1fa0803a07ae3ea4e2d6ae6ff7a97bc6e5",2,1,"e25446de0209781ed926a41458d57aa2350dd0e2bc9d0714fcdb608eac1a1222","e25446de0209781ed926a41458d57aa2350dd0e2bc9d0714fcdb608eac1a1222",0,29000000000,25300,25300,28999974700,-25300,0,0,25300,25300,0
5951277,"46259f0db7b51d6a06932bce3f76b76c4eb13b452509a81a1e719ef60bf55e43",2,1,"eedc9ac2e8142f55d1f26d8d184563d663f399bd152a026f179dd9e50ae70357","eedc9ac2e8142f55d1f26d8d184563d663f399bd152a026f179dd9e50ae70357",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5951302,"4b7be4061651f6d3eb0349be105ec420cec2f34e6e621b4300eb7f74023ea618",2,1,"700d39452a8a2dbcdbc6903ca8c87331390b70de5c2724fbf278e79d813b3960","d72c6cd67e8cb5016346286a2b93588ccd2a89b96e400772b61ff3142a8231ca",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5951363,"6dac9930a874b282e258961814f645295ed5db5442d06d99038dfef5049627c3",2,1,"fece178cc5e01b0a91fcee762296d1b66c165682221e5eef157acc6e107bcf8f","fece178cc5e01b0a91fcee762296d1b66c165682221e5eef157acc6e107bcf8f",0,87000000000,28700,28700,86999971300,-28700,0,0,28700,28700,0
5951374,"b4409c2fd85ef5cedfc347a388b05b14049c42821bdb0fab8d4922fdf551fb81",2,1,"6a1fbf0aec703baf3ffbe8cd1b15722a0acb3c961fee82e26d011581bbe87e14","e38b8a789c483c654fa45e89233b204768e1700bc5b55b5b930e8e65c9d25b53",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5951406,"a61dc698cd814bfa7f78f9ee0d82b2624c9cc87a38dcf1c2e9b16526ac8f8781",2,1,"11abb39e117b02f8bafd1142331fc8d7bb353c8440f130bf68712e6556300861","82dc546209dd1f76f31a0ae8cbe45c5ce982be061c4bb6977abc796db01ea4d3",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5951487,"0814b4a7406f5fb0ea9afcdff759ad5a03db55971184b563d974c1008ba0f622",2,1,"18ca0a523936e27afad59ffaaf9faceedf3a37e5c1dc716cc941fab62268e637","18ca0a523936e27afad59ffaaf9faceedf3a37e5c1dc716cc941fab62268e637",0,87000000000,28700,28700,86999971300,-28700,0,0,28700,28700,0
5951525,"fa1fa8450dec07ba216799677bff6f20a53b05514c58b5fec7c34595afcb11ab",2,1,"8127f08253097eb586913d13bc989ba2ffe1f5cd27f0f38238e07fe8d5a880b7","c397e95042c328b615fc510fe090b74c438711dee6b9cad2beabe2c7dd3e17eb",1,29000000000,25300,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5951577,"7a8dc751a0d629542a76c580dd0b5b9ad83cd9b7d6853f03f49b9fc3e57987a2",2,1,"bbe57629beda411659ac205b36befb30ba3b77a4f03401c524fe046e4ead3369","e4eed560fcec54bd9ed7745e5e90169b063d749f37d88b512a66eff6055f15fc",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
